396 , 0.058
120 , 0.066
271 , 0.050
349 , 0.040
317 , 0.057
419 , 0.044
534 , 0.057
310 , 0.041
393 , 0.034
106 , 0.068
386 , 0.049
285 , 0.046
310 , 0.061
152 , 0.023
337 , 0.045
227 , 0.040
241 , 0.051
317 , 0.058
166 , 0.078
242 , 0.065
274 , 0.048
128 , 0.055
167 , 0.071
235 , 0.054
397 , 0.055
126 , 0.070
222 , 0.041
212 , 0.055
173 , 0.057
290 , 0.057
352 , 0.065
335 , 0.060
122 , 0.085
270 , 0.063
215 , 0.058
115 , 0.063
187 , 0.086
566 , 0.062
470 , 0.056
327 , 0.047
280 , 0.046
227 , 0.026
326 , 0.032
540 , 0.019
171 , 0.082
111 , 0.012
252 , 0.065
374 , 0.061
312 , 0.080
104 , 0.050
257 , 0.090
246 , 0.052
541 , 0.068
176 , 0.059
492 , 0.044
346 , 0.055
214 , 0.070
388 , 0.058
283 , 0.058
370 , 0.056
369 , 0.041
508 , 0.066
156 , 0.069
487 , 0.033
392 , 0.060
532 , 0.051
329 , 0.075
240 , 0.077
183 , 0.067
266 , 0.048
198 , 0.102
113 , 0.046
220 , 0.049
172 , 0.073
397 , 0.047
508 , 0.066
363 , 0.058
341 , 0.046
145 , 0.030
296 , 0.075
456 , 0.037
305 , 0.075
501 , 0.062
530 , 0.061
365 , 0.038
178 , 0.056
267 , 0.064
182 , 0.083
253 , 0.070
436 , 0.059
100 , 0.076
297 , 0.063
212 , 0.040
198 , 0.057
133 , 0.050
474 , 0.043
206 , 0.056
211 , 0.053
258 , 0.059
459 , 0.061
180 , 0.074
158 , 0.019
504 , 0.072
228 , 0.054
149 , 0.058
286 , 0.051
196 , 0.078
273 , 0.074
221 , 0.055
411 , 0.056
226 , 0.082
452 , 0.048
224 , 0.049
369 , 0.054
181 , 0.043
85 , 0.060
229 , 0.051
176 , 0.048
344 , 0.029
225 , 0.044
332 , 0.044
499 , 0.053
265 , 0.043
135 , 0.093
215 , 0.048
307 , 0.073
193 , 0.055
211 , 0.049
196 , 0.071
447 , 0.056
171 , 0.053
327 , 0.041
397 , 0.035
174 , 0.014
233 , 0.075
223 , 0.069
56 , 0.089
161 , 0.075
382 , 0.081
439 , 0.038
215 , 0.037
494 , 0.028
307 , 0.053
222 , 0.074
