1m70 , A , 2 , 42.63 ( 81 / 190 )   , 43.88 ( 43 / 98 )   41.30 ( 38 / 92 )   , 32.56 ( 14 / 43 )   44.26 ( 27 / 61 )   46.51 ( 40 / 86 )   , 50.00 ( 27 / 54 )   37.14 ( 13 / 35 )   34.04 ( 16 / 47 )   46.30 ( 25 / 54 )  
1wur , A , 2 , 51.35 ( 95 / 185 )   , 67.29 ( 72 / 107 )   29.49 ( 23 / 78 )   , 55.93 ( 33 / 59 )   17.50 ( 7 / 40 )   63.95 ( 55 / 86 )   , 66.67 ( 32 / 48 )   17.50 ( 7 / 40 )   57.78 ( 26 / 45 )   57.69 ( 30 / 52 )  
2ahr , C , 2 , 60.24 ( 150 / 249 )   , 56.97 ( 94 / 165 )   66.67 ( 56 / 84 )   , 63.74 ( 58 / 91 )   66.67 ( 54 / 81 )   49.35 ( 38 / 77 )   , 55.93 ( 33 / 59 )   64.38 ( 47 / 73 )   70.00 ( 42 / 60 )   49.12 ( 28 / 57 )  
1orb , A , 2 , 52.90 ( 155 / 293 )   , 54.74 ( 75 / 137 )   51.28 ( 80 / 156 )   , 51.19 ( 43 / 84 )   51.25 ( 41 / 80 )   55.04 ( 71 / 129 )   , 54.29 ( 38 / 70 )   50.00 ( 41 / 82 )   52.00 ( 39 / 75 )   56.06 ( 37 / 66 )  
3rk1 , B , 2 , 49.54 ( 108 / 218 )   , 41.18 ( 42 / 102 )   56.90 ( 66 / 116 )   , 54.69 ( 35 / 64 )   41.54 ( 27 / 65 )   51.69 ( 46 / 89 )   , 50.00 ( 22 / 44 )   41.54 ( 27 / 65 )   59.65 ( 34 / 57 )   48.08 ( 25 / 52 )  
3h47 , A , 2 , 37.44 ( 76 / 203 )   , 39.29 ( 55 / 140 )   33.33 ( 21 / 63 )   , 32.20 ( 19 / 59 )   45.33 ( 34 / 75 )   33.33 ( 23 / 69 )   , 32.76 ( 19 / 58 )   30.77 ( 16 / 52 )   50.00 ( 28 / 56 )   35.14 ( 13 / 37 )  
3ka2 , A , 2 , 48.00 ( 96 / 200 )   , 45.71 ( 48 / 105 )   50.53 ( 48 / 95 )   , 41.79 ( 28 / 67 )   51.32 ( 39 / 76 )   50.88 ( 29 / 57 )   , 58.62 ( 34 / 58 )   34.29 ( 12 / 35 )   45.10 ( 23 / 51 )   48.21 ( 27 / 56 )  
3bl4 , A , 2 , 43.70 ( 52 / 119 )   , 33.33 ( 22 / 66 )   56.60 ( 30 / 53 )   , 31.58 ( 12 / 38 )   55.56 ( 25 / 45 )   41.67 ( 15 / 36 )   , 36.67 ( 11 / 30 )   46.88 ( 15 / 32 )   71.43 ( 15 / 21 )   30.56 ( 11 / 36 )  
2hza , A , 2 , 41.86 ( 54 / 129 )   , 46.07 ( 41 / 89 )   32.50 ( 13 / 40 )   , 33.33 ( 13 / 39 )   45.65 ( 21 / 46 )   45.45 ( 20 / 44 )   , 40.62 ( 13 / 32 )   46.67 ( 14 / 30 )   32.43 ( 12 / 37 )   50.00 ( 15 / 30 )  
1qs2 , A , 2 , 51.12 ( 205 / 401 )   , 49.25 ( 99 / 201 )   53.00 ( 106 / 200 )   , 50.00 ( 65 / 130 )   50.92 ( 83 / 163 )   52.78 ( 57 / 108 )   , 47.75 ( 53 / 111 )   44.74 ( 34 / 76 )   50.44 ( 57 / 113 )   60.40 ( 61 / 101 )  
