2pnw , A , 2 , 49.30 ( 176 / 357 )   , 44.44 ( 80 / 180 )   54.24 ( 96 / 177 )   , 54.07 ( 93 / 172 )   36.23 ( 25 / 69 )   50.00 ( 58 / 116 )   , 52.38 ( 44 / 84 )   52.99 ( 71 / 134 )   39.29 ( 22 / 56 )   46.99 ( 39 / 83 )  
3ku3 , A , 2 , 55.18 ( 181 / 328 )   , 55.95 ( 127 / 227 )   53.47 ( 54 / 101 )   , 55.29 ( 94 / 170 )   54.90 ( 28 / 51 )   55.14 ( 59 / 107 )   , 51.55 ( 50 / 97 )   54.17 ( 26 / 48 )   54.12 ( 46 / 85 )   60.20 ( 59 / 98 )  
1exn , A , 2 , 49.44 ( 132 / 267 )   , 50.00 ( 50 / 100 )   49.10 ( 82 / 167 )   , 52.27 ( 46 / 88 )   30.30 ( 20 / 66 )   58.41 ( 66 / 113 )   , 50.00 ( 30 / 60 )   57.83 ( 48 / 83 )   53.42 ( 39 / 73 )   29.41 ( 15 / 51 )  
1chk , A , 2 , 49.16 ( 117 / 238 )   , 48.91 ( 45 / 92 )   49.32 ( 72 / 146 )   , 50.00 ( 34 / 68 )   48.05 ( 37 / 77 )   49.46 ( 46 / 93 )   , 48.08 ( 25 / 52 )   46.94 ( 23 / 49 )   50.00 ( 23 / 46 )   50.55 ( 46 / 91 )  
1bdf , A , 2 , 46.02 ( 104 / 226 )   , 51.96 ( 53 / 102 )   41.13 ( 51 / 124 )   , 51.95 ( 40 / 77 )   38.16 ( 29 / 76 )   47.95 ( 35 / 73 )   , 54.90 ( 28 / 51 )   35.00 ( 21 / 60 )   50.00 ( 26 / 52 )   46.03 ( 29 / 63 )  
3ca8 , A , 2 , 51.50 ( 137 / 266 )   , 53.12 ( 85 / 160 )   49.06 ( 52 / 106 )   , 50.62 ( 41 / 81 )   56.67 ( 51 / 90 )   47.37 ( 45 / 95 )   , 49.21 ( 31 / 63 )   48.61 ( 35 / 72 )   51.43 ( 36 / 70 )   57.38 ( 35 / 61 )  
1rkq , A , 2 , 57.20 ( 155 / 271 )   , 56.21 ( 86 / 153 )   58.47 ( 69 / 118 )   , 62.32 ( 43 / 69 )   57.28 ( 59 / 103 )   53.54 ( 53 / 99 )   , 57.89 ( 33 / 57 )   53.12 ( 51 / 96 )   53.85 ( 28 / 52 )   65.15 ( 43 / 66 )  
1cyy , A , 2 , 47.01 ( 118 / 251 )   , 44.44 ( 48 / 108 )   48.95 ( 70 / 143 )   , 45.63 ( 47 / 103 )   47.30 ( 35 / 74 )   48.65 ( 36 / 74 )   , 50.72 ( 35 / 69 )   43.14 ( 22 / 51 )   47.30 ( 35 / 74 )   45.61 ( 26 / 57 )  
1zym , A , 2 , 46.15 ( 114 / 247 )   , 51.67 ( 62 / 120 )   40.94 ( 52 / 127 )   , 40.54 ( 30 / 74 )   52.53 ( 52 / 99 )   43.24 ( 32 / 74 )   , 41.79 ( 28 / 67 )   41.54 ( 27 / 65 )   43.59 ( 17 / 39 )   55.26 ( 42 / 76 )  
3cwc , A , 2 , 53.87 ( 195 / 362 )   , 55.88 ( 114 / 204 )   51.27 ( 81 / 158 )   , 58.95 ( 56 / 95 )   51.47 ( 70 / 136 )   52.67 ( 69 / 131 )   , 51.47 ( 70 / 136 )   59.46 ( 44 / 74 )   43.86 ( 25 / 57 )   58.95 ( 56 / 95 )  
