1jhd , A , 2 , 3 , 396 ,  217 ,  0 ,  0 ,  11 ,  17
1vzy , A , 2 , 3 , 290 ,  154 ,  0 ,  0 ,  16 ,  41
1a0p , A , 2 , 3 , 290 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
1jec , A , 3 , 3 , 510 ,  265 ,  0 ,  0 ,  0 ,  7
1qf8 , A , 2 , 2 , 510 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
2hxv , A , 2 , 3 , 349 ,  175 ,  0 ,  0 ,  13 ,  32
1cuk , A , 3 , 2 , 190 ,  74 ,  0 ,  0 ,  8 ,  27
2hsi , B , 2 , 2 , 190 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
2pw9 , C , 3 , 2 , 190 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
2fpn , A , 2 , 3 , 198 ,  67 ,  0 ,  0 ,  4 ,  21
1sr8 , A , 3 , 3 , 282 ,  145 ,  0 ,  2 ,  10 ,  30
1dl5 , A , 2 , 2 , 317 ,  183 ,  0 ,  0 ,  21 ,  46
2ehz , A , 2 , 3 , 299 ,  160 ,  0 ,  7 ,  23 ,  43
2jz4 , A , 2 , 2 , 299 ,  102 ,  0 ,  0 ,  9 ,  21
1kfi , A , 4 , 4 , 570 ,  345 ,  0 ,  0 ,  3 ,  14
1ddt , A , 3 , 3 , 523 ,  243 ,  0 ,  0 ,  0 ,  3
1gkg , A , 2 , 3 , 136 ,  10 ,  0 ,  0 ,  0 ,  9
2z1q , A , 4 , 3 , 136 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
2idb , A , 3 , 3 , 136 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
1np7 , B , 3 , 4 , 483 ,  268 ,  0 ,  0 ,  3 ,  8
1evl , A , 2 , 4 , 401 ,  239 ,  0 ,  0 ,  10 ,  13
1pfx , L , 4 , 4 , 133 ,  38 ,  0 ,  0 ,  0 ,  9
1uzk , A , 3 , 2 , 151 ,  0 ,  0 ,  0 ,  0 ,  0
1dw9 , A , 2 , 2 , 152 ,  101 ,  0 ,  0 ,  4 ,  27
3nt1 , A , 2 , 3 , 555 ,  341 ,  0 ,  0 ,  6 ,  4
1hv9 , A , 2 , 3 , 449 ,  215 ,  0 ,  0 ,  0 ,  10
1xsz , A , 3 , 2 , 384 ,  186 ,  0 ,  0 ,  0 ,  13
1sox , A , 3 , 3 , 463 ,  260 ,  0 ,  1 ,  1 ,  14
1hn0 , A , 4 , 3 , 463 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
2uvo , A , 4 , 4 , 172 ,  85 ,  0 ,  1 ,  11 ,  23
1pxy , A , 4 , 3 , 172 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
1hd8 , A , 2 , 2 , 172 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
2fcw , B , 2 , 3 , 78 ,  28 ,  0 ,  2 ,  17 ,  28
1t8s , A , 2 , 2 , 78 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
2gq1 , A , 2 , 2 , 78 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
2dpl , A , 2 , 2 , 78 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
3k40 , A , 3 , 3 , 78 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
1jgt , A , 2 , 3 , 490 ,  298 ,  0 ,  1 ,  0 ,  10
2vqe , M , 2 , 2 , 125 ,  36 ,  0 ,  0 ,  1 ,  18
1hdh , A , 2 , 2 , 524 ,  320 ,  0 ,  8 ,  8 ,  10
2he7 , A , 3 , 2 , 297 ,  124 ,  0 ,  0 ,  0 ,  17
1on2 , A , 2 , 3 , 135 ,  61 ,  0 ,  0 ,  19 ,  44
3mvq , A , 3 , 3 , 495 ,  320 ,  0 ,  0 ,  4 ,  4
3a21 , A , 4 , 4 , 616 ,  356 ,  0 ,  0 ,  0 ,  3
1vcb , C , 2 , 2 , 142 ,  69 ,  0 ,  2 ,  17 ,  45
1vq8 , P , 3 , 3 , 143 ,  26 ,  0 ,  0 ,  0 ,  1
1qnt , A , 2 , 2 , 166 ,  72 ,  0 ,  8 ,  31 ,  64
1nij , A , 2 , 2 , 317 ,  157 ,  0 ,  2 ,  8 ,  39
1inl , C , 2 , 2 , 293 ,  191 ,  0 ,  4 ,  17 ,  54
1p5q , A , 2 , 3 , 281 ,  128 ,  0 ,  0 ,  0 ,  7
1mbm , D , 3 , 2 , 195 ,  100 ,  0 ,  3 ,  40 ,  75
2v2g , D , 2 , 2 , 219 ,  129 ,  0 ,  0 ,  19 ,  52
5req , B , 3 , 3 , 619 ,  395 ,  0 ,  0 ,  0 ,  10
1ccw , B , 2 , 4 , 483 ,  330 ,  0 ,  3 ,  12 ,  23
3abq , A , 3 , 3 , 460 ,  337 ,  0 ,  1 ,  11 ,  35
2nnu , A , 2 , 2 , 201 ,  81 ,  0 ,  0 ,  6 ,  25
2zbk , B , 3 , 3 , 506 ,  237 ,  0 ,  0 ,  0 ,  0
3kjd , B , 2 , 3 , 353 ,  179 ,  0 ,  0 ,  7 ,  22
1knx , B , 2 , 3 , 304 ,  178 ,  0 ,  0 ,  2 ,  22
1ytf , D , 2 , 2 , 100 ,  49 ,  0 ,  3 ,  11 ,  26
1iak , B , 2 , 2 , 185 ,  91 ,  0 ,  0 ,  3 ,  15
1u8v , A , 3 , 3 , 490 ,  335 ,  0 ,  0 ,  6 ,  8
2au3 , A , 4 , 2 , 403 ,  193 ,  0 ,  0 ,  4 ,  5
2i15 , A , 2 , 3 , 122 ,  42 ,  0 ,  0 ,  21 ,  40
1d3y , A , 2 , 2 , 289 ,  167 ,  0 ,  0 ,  7 ,  34
1af7 , A , 2 , 3 , 274 ,  138 ,  0 ,  0 ,  9 ,  37
1orb , A , 2 , 2 , 293 ,  155 ,  0 ,  6 ,  34 ,  51
1k82 , B , 2 , 2 , 260 ,  136 ,  0 ,  0 ,  25 ,  66
1sei , A , 2 , 2 , 130 ,  56 ,  0 ,  12 ,  33 ,  57
1d4v , A , 3 , 3 , 117 ,  36 ,  0 ,  0 ,  2 ,  14
2v3z , A , 2 , 3 , 465 ,  239 ,  0 ,  0 ,  9 ,  17
2zyd , A , 3 , 3 , 464 ,  290 ,  0 ,  0 ,  2 ,  10
2iah , A , 3 , 4 , 752 ,  405 ,  0 ,  0 ,  0 ,  0
1lnz , A , 2 , 2 , 332 ,  153 ,  0 ,  0 ,  0 ,  10
2jan , A , 3 , 3 , 419 ,  202 ,  0 ,  0 ,  1 ,  14
1j5y , A , 2 , 2 , 167 ,  68 ,  0 ,  1 ,  21 ,  49
1rwh , A , 3 , 3 , 755 ,  432 ,  0 ,  0 ,  1 ,  2
2qbw , A , 2 , 2 , 191 ,  79 ,  0 ,  0 ,  16 ,  44
1kb0 , A , 2 , 3 , 675 ,  422 ,  0 ,  0 ,  0 ,  9
1wlf , A , 2 , 2 , 164 ,  78 ,  0 ,  12 ,  35 ,  70
2oza , A , 3 , 2 , 332 ,  173 ,  0 ,  1 ,  1 ,  10
2bgh , A , 2 , 2 , 413 ,  224 ,  0 ,  0 ,  4 ,  20
2gl6 , A , 2 , 2 , 413 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
2i5v , O , 2 , 2 , 259 ,  91 ,  0 ,  0 ,  3 ,  14
2haw , A , 2 , 2 , 315 ,  181 ,  0 ,  0 ,  18 ,  47
3h4s , A , 2 , 3 , 315 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
3o08 , A , 3 , 3 , 471 ,  266 ,  0 ,  0 ,  4 ,  26
3ci0 , J , 2 , 2 , 146 ,  82 ,  0 ,  14 ,  38 ,  63
3c6m , D , 3 , 3 , 146 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
1lqs , L , 2 , 2 , 142 ,  79 ,  0 ,  0 ,  9 ,  15
1acc , A , 4 , 4 , 142 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
1ng6 , A , 2 , 2 , 148 ,  49 ,  0 ,  3 ,  9 ,  24
2r9r , H , 3 , 3 , 148 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
2r9q , A , 2 , 2 , 327 ,  189 ,  0 ,  5 ,  8 ,  29
1e3a , A , 2 , 2 , 258 ,  154 ,  0 ,  0 ,  2 ,  13
1lko , A , 2 , 2 , 191 ,  75 ,  0 ,  0 ,  11 ,  41
1mgp , A , 2 , 3 , 270 ,  147 ,  0 ,  14 ,  22 ,  62
1a41 , A , 2 , 2 , 221 ,  99 ,  0 ,  0 ,  19 ,  41
1qiu , A , 2 , 3 , 264 ,  153 ,  0 ,  0 ,  10 ,  12
1n6c , A , 2 , 3 , 283 ,  117 ,  0 ,  0 ,  19 ,  27
1prt , B , 2 , 2 , 196 ,  113 ,  0 ,  1 ,  31 ,  60
1xta , B , 2 , 2 , 219 ,  102 ,  0 ,  11 ,  17 ,  35
1ux6 , A , 2 , 2 , 335 ,  87 ,  0 ,  0 ,  6 ,  6
1yua , A , 2 , 3 , 122 ,  41 ,  0 ,  6 ,  27 ,  64
2qia , A , 2 , 2 , 262 ,  132 ,  0 ,  0 ,  19 ,  51
2ghj , B , 2 , 2 , 90 ,  36 ,  0 ,  0 ,  3 ,  20
1now , A , 2 , 2 , 480 ,  281 ,  0 ,  0 ,  4 ,  20
3d1g , A , 3 , 3 , 366 ,  187 ,  0 ,  0 ,  0 ,  32
1olz , A , 3 , 3 , 621 ,  344 ,  0 ,  0 ,  1 ,  0
2pv7 , A , 2 , 3 , 270 ,  153 ,  0 ,  0 ,  23 ,  20
1c0w , A , 3 , 2 , 270 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
3cj8 , B , 3 , 2 , 213 ,  117 ,  0 ,  0 ,  17 ,  41
2q0z , X , 3 , 3 , 282 ,  129 ,  0 ,  0 ,  2 ,  11
2fml , A , 3 , 2 , 256 ,  128 ,  0 ,  0 ,  6 ,  29
3cvr , A , 4 , 4 , 256 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
1cja , A , 2 , 3 , 256 ,  DSSP Data unavailable ,  0 ,  0 ,  0 ,  0
2c0g , A , 2 , 2 , 229 ,  0 ,  0 ,  0 ,  0 ,  0
